SA3 (UR),uni,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below
Migratory - Offshore - Shipping (NT),0.75,0,0,18,0,6,0,0,0
Ku-ring-gai,0.590661955845202,19540,4763,40228,14822,6620,20630,12,2637
Cottesloe - Claremont,0.598000033444257,10057,3131,22573,7548,3543,11565,8,1376
South Canberra,0.619031450278002,5442,1769,7374,2413,1636,4113,5,809
North Sydney - Mosman,0.578507501126779,14246,3491,27187,10713,4521,15876,25,1596
Sherwood - Indooroopilly,0.586034539522912,6586,1902,11092,3538,2513,6743,0,1037
Brisbane Inner - West,0.570430494195007,6598,2491,13119,4285,3510,7632,8,1289
Boroondara,0.558713417615422,21928,9153,48910,17420,9512,29313,42,6892
North Canberra,0.584465788456392,7545,2657,9453,3151,2612,6381,8,1822
Molonglo,0.544466403162055,393,124,585,269,194,424,0,35
Pennant Hills - Epping,0.537681370408114,7207,1819,13134,5586,3484,8455,25,1504
Chatswood - Lane Cove,0.543834873579321,14496,3659,29982,11284,6248,19066,31,3748
Kenmore - Brookfield - Moggill,0.535240236290149,6979,2222,13179,5636,4178,8709,15,895
Manly,0.520877586056391,4786,1516,11599,4968,3122,7342,24,1010
Eastern Suburbs - North,0.536066274719401,14774,3427,31948,11665,7259,21572,15,2890
Stonnington - East,0.531212877167973,4426,2040,11421,4320,2342,7236,7,1880
Leichhardt,0.532807372150138,8059,2315,14141,5393,4092,9389,9,2613
Woden Valley,0.528214884560815,5157,2100,9124,3655,2838,6591,11,1536
Melbourne City,0.520768801585317,9282,2835,14951,6088,3636,12206,22,2957
Stonnington - West,0.505943956977073,5691,2119,13640,5405,2703,10379,14,2445
Burnside,0.497208127707884,5883,2197,13380,5722,3595,10533,0,1851
Yarra,0.512947337794588,9077,3699,15432,5425,4201,11875,36,5247
Bayside,0.467963615332036,10646,5101,28754,13340,9047,23487,22,4698
Sydney Inner City,0.487256332051452,18807,4553,31756,13625,9634,27842,67,6831
Port Phillip,0.479923729516125,9665,4138,20931,8961,6780,17386,29,4484
Adelaide City,0.473789700894234,2025,588,3533,1677,1244,3359,3,543
Hobart Inner,0.468279830825764,5664,2504,12094,5249,4790,10268,50,2650
Perth City,0.462796205170384,8616,3721,20298,8851,7352,17434,30,4215
Brisbane Inner,0.475413516952324,6093,1909,11054,4326,4115,10250,25,2311
Unley,0.455233997406578,4055,1901,9491,4229,3319,8591,14,2332
Weston Creek,0.445435989936868,2646,1438,5300,2807,2529,5040,8,1299
Brisbane Inner - North,0.458822333993802,6787,3099,17207,6995,6634,15280,23,3024
Hornsby,0.422102146558105,7850,2624,18039,9828,9526,16401,32,3250
Brisbane Inner - East,0.434085866234635,3226,1473,7626,3750,3623,7232,8,1455
Baulkham Hills,0.413450699158132,14335,4221,33158,18658,16538,31634,48,6487
Gungahlin,0.418568243275298,6032,2118,9496,6057,5609,10836,29,1981
Darebin - South,0.468123907702439,5331,3014,10137,3695,3639,8056,0,5609
South Perth,0.426198759643019,3699,1616,8773,4453,3686,9142,15,1671
Glen Eira,0.427769033220114,11955,6362,33319,15349,13108,30976,36,9605
Mitcham,0.401924400933654,5774,3065,15096,8170,8107,15668,22,3649
Holland Park - Yeronga,0.418461285549893,5296,2460,12608,5790,6409,12752,34,3315
Whitehorse - West,0.405194307345824,8210,4438,21176,10873,9141,22049,57,7532
Ryde - Hunters Hill,0.40394703972021,12247,3111,26684,13514,12487,27469,81,8485
Fremantle,0.40600879485839,3431,1644,8128,3963,4408,8021,3,2921
Belconnen,0.406666483092852,8859,4319,16359,8676,9775,19631,61,4952
Eastern Suburbs - South,0.40559598468597,12513,3152,23851,11735,12334,25894,57,7891
Pittwater,0.359137209988373,4762,1938,13996,9601,9705,15356,36,2233
Centenary,0.386600287487291,2923,1173,6931,3955,4311,8073,9,1148
Melville,0.372148965517241,7652,3848,22226,12812,12776,26044,36,5231
Norwood - Payneham - St Peters,0.383066199852247,3111,1469,7346,3811,3690,8358,6,3342
Essendon,0.386659479316403,4443,2773,12151,5900,6043,13285,19,5474
Canada Bay,0.376613288718929,6958,2224,16030,8530,8639,17439,41,7083
Prospect - Walkerville,0.375919457571399,2142,1188,5818,3092,3267,6715,7,2106
The Gap - Enoggera,0.364911597097073,3585,1924,9475,5654,5976,11893,13,2542
Blue Mountains,0.348692991088882,6610,3439,15816,11252,13835,18628,63,4534
Marrickville - Sydenham - Petersham,0.393179277897637,4763,1631,8732,4040,4152,10005,34,5114
Manningham - East,0.36142083466072,1826,1146,6104,3434,3951,6867,16,1768
Warringah,0.34535631876137,10135,3934,29784,19259,20945,34816,116,7990
