Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA3 (UR)",
"Queanbeyan",2774,1305,6479,4576,7768,13826,43,3265,1352,4708,11235,57333,
"Snowy Mountains",395,235,1716,1352,3397,4713,17,1369,544,2353,3275,19365,
"South Coast",1363,1219,5909,5003,12010,18032,90,5997,2195,8207,10610,70642,
"Goulburn - Mulwaree",603,410,2326,2486,5850,8900,29,3229,1000,4332,6398,35561,
"Young - Yass",900,551,3217,2336,5179,9036,29,2985,878,3576,7255,35939,
"Gosford",4538,2351,17770,14119,26480,42716,140,11483,5282,13928,30234,169052,
"Wyong",1855,1247,9639,10549,28085,43530,189,14195,4520,14695,30188,158688,
"Bathurst",1019,701,4068,2953,7323,11490,50,3418,1273,5266,9047,46592,
"Lachlan Valley",446,433,3215,2778,8144,14969,82,6230,1371,6854,10814,55339,
"Lithgow - Mudgee",502,409,2788,2519,7886,11696,63,4558,1198,6236,8763,46611,
"Orange",1318,775,5414,3809,8777,13567,66,4814,1608,5175,12293,57612,
"Clarence Valley",571,496,3099,2980,8614,13371,83,5355,1558,5901,8226,50268,
"Coffs Harbour",1566,1174,8061,6435,13737,21287,135,7002,2613,8374,15635,86026,
"Bourke - Cobar - Coonamble",204,135,1342,1080,2868,6369,41,2749,517,3733,5109,24148,
"Broken Hill and Far West",207,188,991,912,3149,5328,38,2771,439,2771,3422,20220,
"Dubbo",962,703,5212,3787,10582,17705,84,6490,1664,8122,14096,69411,
"Lower Hunter",877,638,4591,4769,16342,22358,114,9073,2102,8889,17928,87675,
"Maitland",1251,775,5550,5112,13400,18750,86,6237,1786,4968,16246,74163,
"Port Stephens",1068,663,4741,5292,13348,18214,74,6105,2217,7096,12558,71380,
"Upper Hunter",281,202,1669,1544,5175,7779,44,2968,669,3336,6529,30198,
"Dapto - Port Kembla",1316,695,4886,4929,12687,19761,77,7906,2588,6108,14408,75354,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,3,0,7,
"Kiama - Shellharbour",1771,1140,7130,6772,15795,22483,83,7435,2890,7132,17203,89839,
"Wollongong",6789,2441,17162,10063,17780,29809,106,8816,4052,9119,22153,128299,
"Great Lakes",380,285,1880,2082,5530,8288,48,3568,1011,3772,4428,31268,
"Kempsey - Nambucca",454,419,2770,2687,8125,12121,98,5418,1422,6480,8137,48125,
"Lord Howe Island",9,3,44,27,78,95,0,8,20,44,51,381,
"Port Macquarie",1361,1001,6428,5972,13442,19886,111,6789,2466,8012,13108,78566,
"Taree - Gloucester",600,558,3270,3485,9054,13906,83,6173,1769,5986,8977,53861,
"Albury",1168,942,5395,4227,9993,15298,87,4984,1686,5673,11813,61267,
"Lower Murray",93,102,661,631,1756,3379,15,1547,231,1779,2360,12553,
"Upper Murray exc. Albury",352,369,2537,2396,6568,11492,47,4553,939,5461,7271,41979,
"Armidale",1948,690,3998,2293,4639,9391,37,2708,961,3670,6759,37089,
"Inverell - Tenterfield",287,302,2168,2056,5661,10240,54,4498,1010,5042,7035,38344,
"Moree - Narrabri",241,207,1618,1252,3314,6732,21,2542,565,3563,5574,25626,
"Tamworth - Gunnedah",1017,795,5613,4794,12526,20628,125,7811,2171,8756,16264,80498,
"Lake Macquarie - East",2848,1641,12203,8863,20621,29511,140,10507,3578,8141,21969,120014,
"Lake Macquarie - West",1537,795,5719,5431,13951,18973,64,6920,2321,5823,13682,75207,
"Newcastle",6735,2564,21898,11797,23694,40686,141,12086,4315,12193,27768,163881,
"Richmond Valley - Coastal",2235,1384,9555,6386,11381,17890,64,5132,2289,8964,13002,78281,
"Richmond Valley - Hinterland",1193,925,5909,4250,10903,18145,86,6581,1907,7301,12752,69949,
"Tweed Valley",1543,1141,7530,6722,14869,24532,89,7273,2637,9715,15321,91374,
"Griffith - Murrumbidgee (West)",458,368,2953,2234,6696,12998,41,5151,1386,5909,9943,48140,
"Tumut - Tumbarumba",127,120,894,831,2238,3789,12,1528,329,1957,2610,14437,
"Wagga Wagga",1702,1047,7883,5446,14768,24192,108,8196,2373,9102,18537,93359,
"Shoalhaven",1789,1304,6956,7049,17940,24379,139,9293,3087,11268,16291,99489,
"Southern Highlands",1770,859,5393,4056,7064,11395,38,2993,1640,4271,8397,47873,
"Baulkham Hills",11225,2719,27593,12681,11979,31973,31,5526,4705,6323,28997,143739,
"Dural - Wisemans Ferry",1076,391,3615,2299,3589,6190,14,1444,952,1688,4957,26228,
"Hawkesbury",563,334,2067,2020,4703,5755,20,1599,693,1955,4879,24590,
"Rouse Hill - McGraths Hill",1327,416,4289,2700,4468,7789,13,1653,898,1515,8124,33181,
"Blacktown",6099,1266,16625,9715,14793,35762,110,9528,4397,8984,27469,134751,
"Blacktown - North",5591,1170,14360,7053,9290,20812,38,4084,2484,5121,22819,92820,
"Mount Druitt",2601,585,9773,6373,11677,32423,126,9297,3531,8657,27034,112066,
"Botany",2841,512,7117,3524,4513,11929,16,2824,1585,3912,7923,46692,
"Marrickville - Sydenham - Petersham",4769,1369,11937,4076,4075,10935,21,2984,1925,4861,7656,54612,
"Sydney Inner City",24714,4639,58724,16852,11270,44525,60,4792,5309,28696,14679,214245,
"Eastern Suburbs - North",12797,2788,34125,9437,6204,21830,14,2662,3252,13492,19789,126382,
"Eastern Suburbs - South",12650,2610,29599,9904,10410,31702,31,5278,3867,13647,20960,140651,
"Bankstown",5064,1295,17268,11582,17111,48802,88,13643,7324,12581,36678,171428,
"Canterbury",6111,1159,16368,9324,10505,36861,47,11336,6455,9872,27038,135069,
"Hurstville",8414,1618,21005,10034,10608,33559,48,7970,5013,7768,21160,127191,
"Kogarah - Rockdale",8559,1610,22651,11278,11773,34683,47,8609,5355,10955,22202,137725,
"Canada Bay",7654,1710,17561,6918,6517,17620,26,4372,3021,5856,14097,85355,
"Leichhardt",6259,1676,13571,4190,3338,9159,11,1771,1290,4544,10268,56067,
"Strathfield - Burwood - Ashfield",13837,2886,31904,11424,9844,35207,41,8187,5348,11336,21863,151870,
